Name,Category,Tier,Region,ST,DX,IQ,HT,HP,Will,Per,FP,Basic Speed,Basic Move,Dodge,Parry,DR,SM,Physical Threat,Systemic Threat,Key Skills,Advantages,Disadvantages,Primary Attack,Attack Damage,Secondary Attack,Secondary Damage,Special Abilities,Weakness,Notes,
Stockman with a History,Human NPC,Tier Two,Kimberley stations,14,13,11,14,14,13,14,14,6.75,6,10,10,,,Moderate,Low,Animal Handling-16 / Guns (Rifle)-15 / Brawling-14 / Survival (Desert)-16 / Tracking-15 / Intimidation-14 / Navigation (Land)-15 / Hidden Lore (Dreaming)-12,Danger Sense / Combat Reflexes / Fit / Hard to Kill +2,Stubbornness / Intolerance (country disrespect) / Sense of Duty (country/custodians) / Distrust (strangers initially),Rifle (.308 bolt-action),Various,,,Reaction starts at -3. Trust building: acknowledge country significance +1 / mention Dora Mamid respectfully +2 / ask permission before entering significant areas +2 / correctly identify Marloo +3. Trust destroyers: company mention positively -2 / bribery attempt -3 (asked to leave).,Respect-building sequence (see trust mechanic),At Reaction +1 or better: most valuable Kimberley ally. Knows every track/water source/Marloo sighting last 6 months. Knows the resolution. Has been waiting for the right people.,
Conspiracy Theorist (Real Information),Human NPC,Tier Two,All scenarios — internet / occasional physical,8,10,15,9,8,12,14,9,6,5,,,,,None,Moderate (through exposure),Research-17 / Computer Operation-15 / Electronics Op (Communications)-13 / Current Affairs (government/heritage)-15 / Writing-14 / Detect Lies-13,Eidetic Memory / Intuition (bureaucratic irregularity),Paranoia (mild / with reason) / Curious / Reclusive / Obsession (pattern)[-10],Information exposure,None,,,Reaches them through: encrypted messaging (3 contact attempts before response) / VPN required / in person only after 5 matching pieces of evidence. Trust: each evidence piece matching their database +1 trust level. 3 pieces = share database. 5 pieces = in-person meeting.,Matching evidence pieces from non-public sources,Has 3-year database of public record evidence for the pattern. Corroborates Margaret's files and adds 3 unknown cases. Personal reason for obsession — family member is one of the unreachable.,
Office of Strategic Coordination Field Officer,Human Antagonist,Tier Three,All scenarios — when players are priority,10,11,15,11,10,15,15,11,6.5,5,8,,,,None,Very High,Administration-18 / Law (all areas)-16 / Psychology-16 / Detect Lies-17 / Diplomacy-16 / Fast-Talk-15 / Intimidation-15 / Research-17 / Computer Operation-16 / Observation-16 / Stealth-13 / Acting-15,Legal Enforcement Powers (extensive) / Contact Group (Commonwealth skill 16 15+) / Intuition / Unfazeable / Empathy (as tool),Duty (Office 15+) / Secret (Office existence) / Callousness,Administrative tools (4 escalating levels),None,,,Assessment phase: 1d days passive observation in cover role (Acting-15). Cover blown: Per -3 to notice / critical success identifies specific surveillance. Escalation: L1 employer contacts / L2 professional body complaints / L3 financial flags / L4 death certificates.,Physical confrontation (they comply completely and call superior within 1 hour — accelerates response),Never engage physically. Each instance of physical intimidation adds one escalation level. Most systemically dangerous conventional human in campaign.,
Compromised Senior Police Officer,Human Antagonist,Tier Three,All scenarios — operates through authority,11,11,13,11,11,9 (when exposed),13,11,6,5,,,,,High (through others),Very High,Administration-15 / Law (Criminal)-15 / Intimidation-14 / Leadership-14 / Tactics-13 / Guns (Pistol)-13 / Detect Lies-14 / Politics-13,Legal Enforcement Powers (senior police) / Contact Group (police skill 14 15+) / Rank / Claim to Hospitality,Secret (original favour) [-20] / Duty (police 15+) / Cowardice (re: exposure)[-10] / Stubbornness,Institutional redirection,None,,,Can: redirect investigations / reassign detective / access warrant databases / flag vehicles / brief department contacts with player locations. Leverage mechanic: if players find original favour (Research -3 or through Sandra Walgett docs): Intimidation/Diplomacy +3 — will not actively help but stops hindering.,Original favour evidence / Immunity negotiation pathway (Will -2 to accept / retryable once per session),Redemption option: offer exposure on own terms = Will -2 roll. On success: testimony to Senate inquiry. Not irredeemably corrupt — simply protecting one wrong decision with subsequent wrong decisions.,
Federal Court Judge (Unnamed),Human Antagonist,Tier Three,Canberra (never directly encountered),,,,,,16,,,,,15,,,None,Extreme (background),Law (all areas)-18 / Administration-17 / Politics-15 / Fast-Talk-15,,,Legal pressure (never direct),,,,,Can: issue injunctions / recuse from related cases (correct but causes months delay) / deny Carrick's characterisation of 1997 meeting professionally and plausibly.,Name in Carrick's statement is permanent public record — sufficient,"Never met directly. Evidence of system's depth. Present in compendium to establish: when legal channels are attempted, this is the quality of opposition in those channels.",
Helen Birch,Human Antagonist,Tier Four,Canberra — Office of Strategic Coordination,9,10,16,10,9,16,16,10,6.5,5,,,,,None,Campaign-Ending,Administration-19 / Law (all government areas)-17 / Psychology-17 / Detect Lies-18 / Diplomacy-17 / Research-18 / Politics-16 / Acting-15 / Computer Operation-17 / Fast-Talk-16 / Occultism-12,Legal Enforcement Powers (maximum Commonwealth level) / Contact Group (entire Commonwealth bureaucracy skill 17 15+) / Intuition / Empathy (genuine) / Eidetic Memory / Rank (departmental secretary equivalent),Duty (Office 15+) / Callousness (functional) / Secret (Office existence) / Nightmares (NT spring 2004 / every night 20 years) / Guilt (suppressed — 20pt equivalent),Maximum administrative arsenal,None,,,Will roll to act against Office: base 16. Modifiers: -1 per scenario visited / -2 for 1923 survey / -3 for Petra Scholl (breaks composure before roll). On failure: unclassifies document / signs Carrick statement / writes own statement. On success: another approach needed.,Players being the people who went to the sites and came back / Complete evidence assembly / Petra Scholl's presence,Not defeated — she decides. The players cannot force it. She was always going to do this eventually. They got there first. She has been to a site (NT spring 2004) and suppressed her own 38-page assessment of it.,
Petra Scholl,Human NPC,Tier Three,Canberra (Yarralumla) / Pilbara (end of campaign),9,10,13,10,9,13,13,10,5.75,5,,,,,None,None,Geology-14 / Heritage Assessment-16 / Research-15 / Law (Heritage)-13 / Observation-14,Hidden Lore (Dreaming)-13 / Intuition,Enemy (Office of Strategic Coordination 9+) / Wealth (Poor) / Administratively Dead (21 years),Administrative testimony / Living evidence,None,,,Has been dead officially for 21 years. Verification for players: hidden documents on Margaret's USB drive (folder OLD-DELETE) with handwritten note 'If you're reading this I was wrong about Darwin.' Handwriting matches 2001 assessment signature.,David Carrick's protection / Hidden on USB drive,The campaign's most important witness. 21 years. Very tired. Wants to be alive again officially and go back to the Pilbara to see if the site still remembers her.,
Margaret Osei,Human NPC,Tier Two,Canberra — Department of PM&C (briefly) / Home,9,10,14,10,9,15,14,10,6,5,,,,,None,Moderate (while still credentialled),Administration-17 / Law (Government/FOI)-15 / Research-16 / Psychology-14 / Detect Lies-15 / Diplomacy-14 / Writing-14,Contact Group (Commonwealth bureaucracy 30 years skill 14 15+) / Legal Enforcement Powers (briefly),Sense of Duty (truth) / Nightmares / Stubborn,Information + USB drive,None,,,Reaction +2 if approached correctly. Reaction -2 if players are transactional rather than genuine. Gives USB drive in public coffee shop. Knows about David Carrick. Knows about the field officer watching her.,Trust built through respectful approach / Public location meeting (protection via witnesses),32 years of notes on the USB drive. Hidden folder contains Petra Scholl's documents. Retirement accelerated — credentials revoked by Monday after players visit. Her fear is real and should be played as real.,
David Carrick,Human NPC,Tier Three,Canberra — Yarralumla,9,10,14,10,9,14,14,10,6,5,,,,,None,None,Administration-17 / Law (Government)-15 / Research-16 / Psychology-14 / Computer Operation-15,Contact Group (former Commonwealth contacts) / Eidetic Memory (the 47 cases),Secret (Office involvement 20 years) / Guilt (functional — driving current choice) / Nightmares,Signed 73-page document / Counter-filing death certificates,None,,,Filed players' death certificates first (before Office could) — creates database conflict buying 48-hour window. Has Petra Scholl in his back room. Was at 1997 meeting where Office's purpose was stated. Will sign document and add his own statement if players have been to the sites.,Threat of exposure accelerates cooperation / Petra Scholl's presence reveals full picture,Not redeemed — making a different choice. Was at the 1997 meeting. Signed off on Petra Scholl's administrative death. Is sorry. That does not make it sufficient. He knows this.,
Billy Hanrahan,Human NPC,Tier One,Snowy Mountains — high country,9 (age),10,12,10,9,16,14,10,5,5,,,,,None,None,Animal Handling (Horses)-16 / Survival (Mountain)-17 / Navigation (Land)-15 / Naturalist-15 / Riding (Horse)-16 / Farming-14,Danger Sense / Unfazeable / Fit (residual),Age (-3 ST/HT already applied) / Loner / Sense of Duty (the mountain),None,None,,,Reaction: +2 if approached with respect for his knowledge / -3 if approached with urgency that doesn't acknowledge him first. Intimidation attempts: automatically fail. He is 80. He has been on this mountain 60 years. He is not frightened of people who arrived two days ago.,Respectful approach — he will wait as long as needed,Knows where the platform is. Knows about the trade. Knows the old story before Paterson's poem. Comes and goes without transitional states — on the rock / not on the rock. This is correct.,
Drysdale Station Caretaker,Human NPC,Tier One,Kimberley — Drysdale River Station,10,11,11,12,10,6 (currently),12,10,5.75,5,,,,,None,None,Animal Handling-13 / Mechanic (Station Equipment)-12 / Survival (Desert)-14 / Guns (Rifle)-13 / First Aid-11,,,None — he is not a threat,None,,,Current condition: Will 9→6 (3 Fright Check failures) / Nightmares / Paranoia (checks mirrors 3x before bed) / Dehydration (-1 HT). Stabilising: Psychology or First Aid -1. Critical success reveals: 'It's not coming for me — it's coming for the drill core in the Aldercroft ute.',Psychology or First Aid to stabilise / Physical needs (food and water),Will not leave the homestead. The homestead is survivable. The outside is not. This calculation is not negotiable. Work within it.,
